"Price Quartiles and Averages for Unabsorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés non-écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
Que/Qc,Montréal,Repentigny (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Sulpice (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Assomption (V),"268,861",--,--,--,--,--,--,--,"268,861",--,--,--
Que/Qc,Montréal,L'Épiphanie (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Épiphanie (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Lin--Laurentides (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Terrebonne (V),"436,520","380,000","420,000","525,000","335,569",--,--,--,"397,017","380,000","420,000","525,000"
Que/Qc,Montréal,Mascouche (V),"323,352","300,000","300,000","350,000","286,040",--,--,--,"304,696","300,000","300,000","350,000"
Que/Qc,Montréal,Laval (V),"626,654","410,000","570,000","725,000","426,764","395,000","430,000","460,000","557,127","400,000","470,000","600,000"
Que/Qc,Montréal,Montréal-Est (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Montréal (V),"660,453","435,000","475,000","682,500","386,884",--,--,--,"518,197","435,000","475,000","682,500"
Que/Qc,Montréal,Westmount (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Montréal-Ouest (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Côte-Saint-Luc (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Hampstead (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Mont-Royal (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Dorval (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Île-Dorval (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Pointe-Claire (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Kirkland (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Beaconsfield (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Baie-D'Urfé (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Anne-de-Bellevue (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Senneville (VL),--,--,--,--,--,--,--,--,--,--,--,--
