"Price Quartiles and Averages for Absorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
Que/Qc,Saguenay,Bégin (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Saint-Charles-de-Bourget (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Larouche (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Saguenay,Total,--,--,--,--,"216,188","175,000","205,000","220,000","216,188","175,000","205,000","220,000"
Que/Qc,Montréal,Lavaltrie (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Richelieu (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Mathias-sur-Richelieu (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Jean-sur-Richelieu (V),"393,118","310,000","375,000","415,000","277,493",--,--,--,"381,718","310,000","375,000","415,000"
Que/Qc,Montréal,Chambly (V),"424,264","395,000","445,000","475,000","309,392",--,--,--,"383,550","395,000","445,000","475,000"
Que/Qc,Montréal,Carignan (V),"476,045",--,--,--,"329,294","300,000","315,000","350,000","337,926","300,000","315,000","350,000"
Que/Qc,Montréal,Saint-Basile-le-Grand (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,McMasterville (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Otterburn Park (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Mont-Saint-Hilaire (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Beloeil (V),"494,818",--,--,--,--,--,--,--,"494,818",--,--,--
Que/Qc,Montréal,Saint-Mathieu-de-Beloeil (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Brossard (V),"707,537",--,--,--,--,--,--,--,"707,537",--,--,--
Que/Qc,Montréal,Saint-Lambert (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Boucherville (V),"715,141",--,--,--,--,--,--,--,"715,141",--,--,--
Que/Qc,Montréal,Saint-Bruno-de-Montarville (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Longueuil (V),"489,836","395,000","460,000","555,000","405,340",--,--,--,"466,316","395,000","460,000","555,000"
Que/Qc,Montréal,Sainte-Julie (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Amable (MÉ),"303,549",--,--,--,--,--,--,--,"303,549",--,--,--
Que/Qc,Montréal,Varennes (V),--,--,--,--,"323,906",--,--,--,"323,906",--,--,--
Que/Qc,Montréal,Verchères (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Charlemagne (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Repentigny (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Sulpice (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Assomption (V),"290,367",--,--,--,--,--,--,--,"290,367",--,--,--
Que/Qc,Montréal,L'Épiphanie (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Épiphanie (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Lin--Laurentides (V),"266,863","220,000","255,000","280,000",--,--,--,--,"266,863","220,000","255,000","280,000"
Que/Qc,Montréal,Terrebonne (V),"448,097","390,000","447,500","477,500","353,679",--,--,--,"440,118","390,000","447,500","477,500"
Que/Qc,Montréal,Mascouche (V),"381,406",--,--,--,"318,457",--,--,--,"369,468",--,--,--
Que/Qc,Montréal,Laval (V),"592,413","415,000","485,000","605,000","400,662",--,--,--,"523,579","415,000","485,000","605,000"
Que/Qc,Montréal,Montréal-Est (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Montréal (V),"691,159","500,000","570,000","850,000","485,694",--,--,--,"617,192","500,000","570,000","850,000"
Que/Qc,Montréal,Westmount (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Montréal-Ouest (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Côte-Saint-Luc (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Hampstead (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Mont-Royal (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Dorval (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Île-Dorval (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Pointe-Claire (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Kirkland (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Beaconsfield (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Baie-D'Urfé (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Anne-de-Bellevue (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Senneville (VL),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Dollard-Des Ormeaux (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Mathieu (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Philippe (MÉ),--,--,--,--,"264,440",--,--,--,"264,440",--,--,--
Que/Qc,Montréal,La Prairie (V),"602,465",--,--,--,"443,557",--,--,--,"552,283",--,--,--
Que/Qc,Montréal,Candiac (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Delson (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Catherine (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Constant (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Isidore (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Mercier (V),"344,568",--,--,--,"273,110",--,--,--,"324,151",--,--,--
Que/Qc,Montréal,Châteauguay (V),"425,665",--,--,--,--,--,--,--,"425,665",--,--,--
Que/Qc,Montréal,Léry (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Beauharnois (V),"285,334",--,--,--,--,--,--,--,"285,334",--,--,--
Que/Qc,Montréal,Saint-Zotique (MÉ),"287,399",--,--,--,--,--,--,--,"287,399",--,--,--
Que/Qc,Montréal,Les Coteaux (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Coteau-du-Lac (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Les Cèdres (MÉ),"335,191",--,--,--,--,--,--,--,"335,191",--,--,--
Que/Qc,Montréal,Pointe-des-Cascades (VL),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Île-Perrot (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Notre-Dame-de-l'Île-Perrot (V),"469,490",--,--,--,--,--,--,--,"469,490",--,--,--
Que/Qc,Montréal,Pincourt (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Terrasse-Vaudreuil (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Vaudreuil-Dorion (V),"389,811","350,000","425,000","485,000",--,--,--,--,"389,811","350,000","425,000","485,000"
Que/Qc,Montréal,Vaudreuil-sur-le-Lac (VL),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Île-Cadieux (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Hudson (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Lazare (V),"411,058","350,000","395,000","500,000",--,--,--,--,"411,058","350,000","395,000","500,000"
Que/Qc,Montréal,Saint-Eustache (V),--,--,--,--,"283,351",--,--,--,"283,351",--,--,--
Que/Qc,Montréal,Deux-Montagnes (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Marthe-sur-le-Lac (V),"377,774",--,--,--,"280,528",--,--,--,"364,808",--,--,--
Que/Qc,Montréal,Pointe-Calumet (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Joseph-du-Lac (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Oka (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Placide (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Boisbriand (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Thérèse (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Blainville (V),"559,851",--,--,--,--,--,--,--,"559,851",--,--,--
Que/Qc,Montréal,Rosemère (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Lorraine (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Bois-des-Filion (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Anne-des-Plaines (V),"286,500",--,--,--,--,--,--,--,"286,500",--,--,--
